index,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
362,200510,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,4766
363,200510,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,6680
364,200510,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,6999
365,200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,29388
366,200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,33214
367,200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,International,A,4159
368,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,International,A,5168
369,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,International,A,6093
370,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Thru / Transit,Other,International,A,793
371,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5940
372,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,9998
373,200510,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2773
374,200510,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,5669
375,200510,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6001
376,200510,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,138090
377,200510,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,138552
378,200510,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,4669
379,200510,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4524
380,200510,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4674
381,200510,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,5409
382,200510,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,19453
383,200510,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,18988
384,200510,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,9571
385,200510,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,11106
386,200510,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,8919
387,200510,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10254
388,200510,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Low Fare,Terminal 1,C,21516
389,200510,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,62701
390,200510,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Low Fare,Terminal 1,C,20904
